locus	erv.assigned	CLADE	locus_name
RETROSEQ_chr22:1446715-1446815	cPa472	Beta-like1	ERV-AB1.cPa472.5-CamPar
RETROSEQ_chr22:1446830-1446930	cPa472	Beta-like1	ERV-AB1.cPa472.6-CamPar
RETROSEQ_chr22:1459912-1460012	cPa450	Gamma-like	ERV-GE.cPa450.398-CamPar
RETROSEQ_chr22:1466748-1466861	cPa140	SnRV-like	ERV-S.cPa140.1056-CamPar
RETROSEQ_chr22:1481357-1481457	cPa152	Gamma-like	ERV-GE.cPa152.16-CamPar
RETROSEQ_chr22:1485567-1485667	JSRV_DQ838494	Beta	ERV-JSRV.5-CamPar
RETROSEQ_chr22:1498214-1498314	cPa308	Beta-like2	ERV-AB2.cPa308.197-CamPar
RETROSEQ_chr22:1501098-1501198	cPa452	Beta-like1	ERV-AB1.cPa452.891-CamPar
RETROSEQ_chr22:1501887-1502173	cPa199	Beta-like2	ERV-AB2.cPa199.519-CamPar
RETROSEQ_chr22:1510184-1510338	cPa486	Beta-like1	ERV-AB1.cPa486.88-CamPar
RETROSEQ_chr22:1519680-1519813	cPa248	SnRV-like	ERV-S.cPa248.414-CamPar
RETROSEQ_chr22:1519843-1519943	cPa140	SnRV-like	ERV-S.cPa140.1057-CamPar
RETROSEQ_chr22:1519967-1520067	cPa248	SnRV-like	ERV-S.cPa248.415-CamPar
RETROSEQ_chr22:1520085-1520277	cPa443	SnRV-like	ERV-S.cPa443.191-CamPar
RETROSEQ_chr22:1537446-1537714	cPa381	Beta-like1	ERV-AB1.cPa381.39-CamPar
RETROSEQ_chr22:1556376-1556739	cPa199	Beta-like2	ERV-AB2.cPa199.520-CamPar
RETROSEQ_chr22:1562962-1563062	cPa183	Beta-like1	ERV-AB1.cPa183.164-CamPar
RETROSEQ_chr22:1621626-1621728	cPa140	SnRV-like	ERV-S.cPa140.1058-CamPar
RETROSEQ_chr22:1621950-1622063	cPa140	SnRV-like	ERV-S.cPa140.1059-CamPar
RETROSEQ_chr22:1634285-1634412	cPa273	Gamma-like	ERV-GE.cPa273.144-CamPar
RETROSEQ_chr22:1634437-1634537	cPa227	Gamma-like	ERV-GE.cPa227.75-CamPar
RETROSEQ_chr22:1637726-1637981	cPa199	Beta-like2	ERV-AB2.cPa199.521-CamPar
RETROSEQ_chr22:1650521-1650621	cPa450	Gamma-like	ERV-GE.cPa450.399-CamPar
RETROSEQ_chr22:1650952-1651052	cPa273	Gamma-like	ERV-GE.cPa273.145-CamPar
RETROSEQ_chr22:1660848-1660948	cPa486	Beta-like1	ERV-AB1.cPa486.89-CamPar
RETROSEQ_chr22:1704353-1704453	cPa391	Beta-like2	ERV-AB2.cPa391.568-CamPar
RETROSEQ_chr22:1769431-1769664	cPa450	Gamma-like	ERV-GE.cPa450.400-CamPar
RETROSEQ_chr22:1769671-1769771	cPa450	Gamma-like	ERV-GE.cPa450.401-CamPar
RETROSEQ_chr22:1774659-1774759	cPa199	Beta-like2	ERV-AB2.cPa199.522-CamPar
RETROSEQ_chr22:1788052-1788152	cPa450	Gamma-like	ERV-GE.cPa450.402-CamPar
RETROSEQ_chr22:1788182-1788328	cPa199	Beta-like2	ERV-AB2.cPa199.523-CamPar
RETROSEQ_chr22:1795201-1795301	cPa308	Beta-like2	ERV-AB2.cPa308.198-CamPar
RETROSEQ_chr22:1795323-1795432	cPa381	Beta-like1	ERV-AB1.cPa381.40-CamPar
RETROSEQ_chr22:1807586-1807686	cPa542	Beta-like1	ERV-AB1.cPa542.143-CamPar
RETROSEQ_chr22:1807814-1807914	cPa199	Beta-like2	ERV-AB2.cPa199.524-CamPar
RETROSEQ_chr22:1807947-1808047	cPa199	Beta-like2	ERV-AB2.cPa199.525-CamPar
RETROSEQ_chr22:1811284-1811593	cPa450	Gamma-like	ERV-GE.cPa450.403-CamPar
RETROSEQ_chr22:1814025-1814125	cPa308	Beta-like2	ERV-AB2.cPa308.199-CamPar
RETROSEQ_chr22:1816907-1817020	cPa199	Beta-like2	ERV-AB2.cPa199.526-CamPar
RETROSEQ_chr22:1845184-1845284	cPa450	Gamma-like	ERV-GE.cPa450.404-CamPar
RETROSEQ_chr22:1847637-1847807	cPa308	Beta-like2	ERV-AB2.cPa308.200-CamPar
RETROSEQ_chr22:1847868-1847968	cPa308	Beta-like2	ERV-AB2.cPa308.201-CamPar
RETROSEQ_chr22:1857412-1857512	cPa518	Beta-like1	ERV-AB1.cPa518.8-CamPar
RETROSEQ_chr22:1857555-1857655	cPa518	Beta-like1	ERV-AB1.cPa518.9-CamPar
RETROSEQ_chr22:1884427-1884703	cPa450	Gamma-like	ERV-GE.cPa450.405-CamPar
RETROSEQ_chr22:1894143-1894243	cPa450	Gamma-like	ERV-GE.cPa450.406-CamPar
RETROSEQ_chr22:1894281-1894381	cPa450	Gamma-like	ERV-GE.cPa450.407-CamPar
RETROSEQ_chr22:1898542-1898642	cPa183	Beta-like1	ERV-AB1.cPa183.165-CamPar
RETROSEQ_chr22:1927873-1928166	cPa140	SnRV-like	ERV-S.cPa140.1060-CamPar
RETROSEQ_chr22:1928183-1928415	cPa140	SnRV-like	ERV-S.cPa140.1061-CamPar
RETROSEQ_chr22:1948298-1948398	cPa140	SnRV-like	ERV-S.cPa140.1062-CamPar
RETROSEQ_chr22:1948433-1948870	cPa140	SnRV-like	ERV-S.cPa140.1063-CamPar
RETROSEQ_chr22:1955312-1955412	cPa333	Beta-like1	ERV-AB1.cPa333.128-CamPar
RETROSEQ_chr22:1955495-1955595	cPa333	Beta-like1	ERV-AB1.cPa333.129-CamPar
RETROSEQ_chr22:1958436-1958536	cPa199	Beta-like2	ERV-AB2.cPa199.527-CamPar
RETROSEQ_chr22:1960062-1960316	cPa446	Beta-like1	ERV-AB1.cPa446.71-CamPar
RETROSEQ_chr22:1986002-1986102	cPa201	Gamma-like	ERV-GE.cPa201.117-CamPar
RETROSEQ_chr22:1989953-1990078	cPa450	Gamma-like	ERV-GE.cPa450.408-CamPar
RETROSEQ_chr22:1990427-1990527	cPa450	Gamma-like	ERV-GE.cPa450.409-CamPar
RETROSEQ_chr22:1996069-1996408	cPa482	Beta-like1	ERV-AB1.cPa482.105-CamPar
RETROSEQ_chr22:2011649-2011797	cPa194	Beta-like1	ERV-AB1.cPa194.479-CamPar
RETROSEQ_chr22:2024007-2024122	cPa450	Gamma-like	ERV-GE.cPa450.410-CamPar
RETROSEQ_chr22:2034851-2034951	cPa486	Beta-like1	ERV-AB1.cPa486.90-CamPar
RETROSEQ_chr22:2034957-2035152	cPa486	Beta-like1	ERV-AB1.cPa486.91-CamPar
RETROSEQ_chr22:2042222-2042322	cPa482	Beta-like1	ERV-AB1.cPa482.106-CamPar
RETROSEQ_chr22:2060800-2061127	cPa381	Beta-like1	ERV-AB1.cPa381.41-CamPar
RETROSEQ_chr22:2081903-2082057	cPa194	Beta-like1	ERV-AB1.cPa194.480-CamPar
RETROSEQ_chr22:2082086-2082186	cPa194	Beta-like1	ERV-AB1.cPa194.481-CamPar
RETROSEQ_chr22:2082200-2082304	cPa194	Beta-like1	ERV-AB1.cPa194.482-CamPar
RETROSEQ_chr22:2086326-2086473	cPa450	Gamma-like	ERV-GE.cPa450.411-CamPar
RETROSEQ_chr22:2099320-2099625	cPa199	Beta-like2	ERV-AB2.cPa199.528-CamPar
RETROSEQ_chr22:2103919-2104026	cPa194	Beta-like1	ERV-AB1.cPa194.483-CamPar
RETROSEQ_chr22:2104203-2104303	cPa194	Beta-like1	ERV-AB1.cPa194.484-CamPar
RETROSEQ_chr22:2109049-2109351	cPa199	Beta-like2	ERV-AB2.cPa199.529-CamPar
RETROSEQ_chr22:2125402-2125585	cPa450	Gamma-like	ERV-GE.cPa450.412-CamPar
RETROSEQ_chr22:2125702-2125802	cPa199	Beta-like2	ERV-AB2.cPa199.530-CamPar
RETROSEQ_chr22:2127898-2127998	cPa308	Beta-like2	ERV-AB2.cPa308.202-CamPar
RETROSEQ_chr22:2132999-2133293	cPa199	Beta-like2	ERV-AB2.cPa199.531-CamPar
RETROSEQ_chr22:2145296-2145409	cPa194	Beta-like1	ERV-AB1.cPa194.485-CamPar
RETROSEQ_chr22:2145453-2145553	cPa194	Beta-like1	ERV-AB1.cPa194.486-CamPar
RETROSEQ_chr22:2159346-2159462	cPa446	Beta-like1	ERV-AB1.cPa446.72-CamPar
RETROSEQ_chr22:2159478-2159678	cPa446	Beta-like1	ERV-AB1.cPa446.73-CamPar
RETROSEQ_chr22:2160604-2160704	cPa450	Gamma-like	ERV-GE.cPa450.413-CamPar
RETROSEQ_chr22:2165299-2165434	cPa183	Beta-like1	ERV-AB1.cPa183.166-CamPar
RETROSEQ_chr22:2165747-2165847	cPa379	Beta-like1	ERV-AB1.cPa379.72-CamPar
RETROSEQ_chr22:2180257-2180515	cPa450	Gamma-like	ERV-GE.cPa450.414-CamPar
RETROSEQ_chr22:2180632-2180732	cPa450	Gamma-like	ERV-GE.cPa450.415-CamPar
RETROSEQ_chr22:2192641-2192741	cPa446	Beta-like1	ERV-AB1.cPa446.74-CamPar
RETROSEQ_chr22:2193262-2193362	cPa199	Beta-like2	ERV-AB2.cPa199.532-CamPar
RETROSEQ_chr22:2193400-2193729	cPa199	Beta-like2	ERV-AB2.cPa199.533-CamPar
RETROSEQ_chr22:2193776-2193876	cPa542	Beta-like1	ERV-AB1.cPa542.144-CamPar
RETROSEQ_chr22:2198814-2198914	cPa450	Gamma-like	ERV-GE.cPa450.416-CamPar
RETROSEQ_chr22:2200038-2200142	cPa450	Gamma-like	ERV-GE.cPa450.417-CamPar
RETROSEQ_chr22:2200326-2200426	cPa450	Gamma-like	ERV-GE.cPa450.418-CamPar
RETROSEQ_chr22:2214103-2214296	cPa450	Gamma-like	ERV-GE.cPa450.419-CamPar
RETROSEQ_chr22:2216386-2216498	cPa183	Beta-like1	ERV-AB1.cPa183.167-CamPar
RETROSEQ_chr22:2240081-2240191	cPa424	Beta-like2	ERV-AB2.cPa424.23-CamPar
RETROSEQ_chr22:2240325-2240425	cPa424	Beta-like2	ERV-AB2.cPa424.24-CamPar
RETROSEQ_chr22:2262895-2263302	cPa194	Beta-like1	ERV-AB1.cPa194.487-CamPar
RETROSEQ_chr22:2317431-2317546	cPa450	Gamma-like	ERV-GE.cPa450.420-CamPar
RETROSEQ_chr22:2317563-2317663	cPa450	Gamma-like	ERV-GE.cPa450.421-CamPar
RETROSEQ_chr22:2318804-2319132	cPa379	Beta-like1	ERV-AB1.cPa379.73-CamPar
RETROSEQ_chr22:2320206-2320306	cPa194	Beta-like1	ERV-AB1.cPa194.488-CamPar
RETROSEQ_chr22:2320350-2320450	cPa194	Beta-like1	ERV-AB1.cPa194.489-CamPar
RETROSEQ_chr22:2320456-2320713	cPa194	Beta-like1	ERV-AB1.cPa194.490-CamPar
RETROSEQ_chr22:2320721-2320843	cPa194	Beta-like1	ERV-AB1.cPa194.491-CamPar
RETROSEQ_chr22:2325310-2325465	cPa308	Beta-like2	ERV-AB2.cPa308.203-CamPar
RETROSEQ_chr22:2339964-2340064	cPa199	Beta-like2	ERV-AB2.cPa199.534-CamPar
RETROSEQ_chr22:2349085-2349185	cPa308	Beta-like2	ERV-AB2.cPa308.204-CamPar
RETROSEQ_chr22:2366105-2366338	cPa194	Beta-like1	ERV-AB1.cPa194.492-CamPar
RETROSEQ_chr22:2366386-2366486	cPa194	Beta-like1	ERV-AB1.cPa194.493-CamPar
RETROSEQ_chr22:2382840-2382940	cPa450	Gamma-like	ERV-GE.cPa450.422-CamPar
RETROSEQ_chr22:2426134-2426293	cPa194	Beta-like1	ERV-AB1.cPa194.494-CamPar
RETROSEQ_chr22:2426417-2426550	cPa194	Beta-like1	ERV-AB1.cPa194.495-CamPar
RETROSEQ_chr22:2426552-2426674	cPa194	Beta-like1	ERV-AB1.cPa194.496-CamPar
RETROSEQ_chr22:2426711-2426811	cPa194	Beta-like1	ERV-AB1.cPa194.497-CamPar
RETROSEQ_chr22:2433958-2434058	cPa308	Beta-like2	ERV-AB2.cPa308.205-CamPar
RETROSEQ_chr22:2437649-2437995	cPa450	Gamma-like	ERV-GE.cPa450.423-CamPar
RETROSEQ_chr22:2458747-2458847	cPa199	Beta-like2	ERV-AB2.cPa199.535-CamPar
RETROSEQ_chr22:2467775-2467931	cPa450	Gamma-like	ERV-GE.cPa450.424-CamPar
RETROSEQ_chr22:2471340-2471503	cPa379	Beta-like1	ERV-AB1.cPa379.74-CamPar
RETROSEQ_chr22:2477602-2477815	cPa199	Beta-like2	ERV-AB2.cPa199.536-CamPar
RETROSEQ_chr22:2477836-2477960	cPa199	Beta-like2	ERV-AB2.cPa199.537-CamPar
RETROSEQ_chr22:2488184-2488284	cPa201	Gamma-like	ERV-GE.cPa201.118-CamPar
RETROSEQ_chr22:2488292-2488392	cPa353	Beta-like2	ERV-AB2.cPa353.84-CamPar
RETROSEQ_chr22:2493359-2493481	cPa248	SnRV-like	ERV-S.cPa248.416-CamPar
RETROSEQ_chr22:2499098-2499198	cPa450	Gamma-like	ERV-GE.cPa450.425-CamPar
RETROSEQ_chr22:2499306-2499409	cPa450	Gamma-like	ERV-GE.cPa450.426-CamPar
RETROSEQ_chr22:2499674-2499774	cPa199	Beta-like2	ERV-AB2.cPa199.538-CamPar
RETROSEQ_chr22:2511603-2511750	cPa363	Beta-like1	ERV-AB1.cPa363.425-CamPar
RETROSEQ_chr22:2518190-2518312	cPa194	Beta-like1	ERV-AB1.cPa194.498-CamPar
RETROSEQ_chr22:2518535-2518635	cPa194	Beta-like1	ERV-AB1.cPa194.499-CamPar
RETROSEQ_chr22:2528389-2528489	cPa199	Beta-like2	ERV-AB2.cPa199.539-CamPar
RETROSEQ_chr22:2531495-2531595	cPa542	Beta-like1	ERV-AB1.cPa542.145-CamPar
RETROSEQ_chr22:2531605-2531705	cPa542	Beta-like1	ERV-AB1.cPa542.146-CamPar
RETROSEQ_chr22:2538556-2538807	cPa194	Beta-like1	ERV-AB1.cPa194.500-CamPar
RETROSEQ_chr22:2543189-2543371	cPa353	Beta-like2	ERV-AB2.cPa353.85-CamPar
RETROSEQ_chr22:2543376-2543661	cPa353	Beta-like2	ERV-AB2.cPa353.86-CamPar
RETROSEQ_chr22:2547791-2547891	cPa452	Beta-like1	ERV-AB1.cPa452.892-CamPar
RETROSEQ_chr22:2554307-2554496	cPa199	Beta-like2	ERV-AB2.cPa199.540-CamPar
RETROSEQ_chr22:2554504-2554775	cPa199	Beta-like2	ERV-AB2.cPa199.541-CamPar
RETROSEQ_chr22:2574677-2574828	cPa353	Beta-like2	ERV-AB2.cPa353.87-CamPar
RETROSEQ_chr22:2594109-2594212	VISNA_S55323	Lenti	ERV-VISNA.27-CamPar
RETROSEQ_chr22:2599136-2599259	cPa327	Beta-like2	ERV-AB2.cPa327.69-CamPar
RETROSEQ_chr22:2601646-2601926	cPa452	Beta-like1	ERV-AB1.cPa452.893-CamPar
RETROSEQ_chr22:2605785-2606109	cPa194	Beta-like1	ERV-AB1.cPa194.501-CamPar
RETROSEQ_chr22:2618208-2618308	cPa452	Beta-like1	ERV-AB1.cPa452.894-CamPar
RETROSEQ_chr22:2621364-2621543	cPa194	Beta-like1	ERV-AB1.cPa194.502-CamPar
RETROSEQ_chr22:2621814-2621988	cPa194	Beta-like1	ERV-AB1.cPa194.503-CamPar
RETROSEQ_chr22:2625551-2625651	cPa183	Beta-like1	ERV-AB1.cPa183.168-CamPar
RETROSEQ_chr22:2627980-2628142	cPa391	Beta-like2	ERV-AB2.cPa391.569-CamPar
RETROSEQ_chr22:2628742-2628896	cPa450	Gamma-like	ERV-GE.cPa450.427-CamPar
RETROSEQ_chr22:2634937-2635096	cPa194	Beta-like1	ERV-AB1.cPa194.504-CamPar
RETROSEQ_chr22:2636353-2636453	cPa273	Gamma-like	ERV-GE.cPa273.146-CamPar
RETROSEQ_chr22:2641194-2641294	cPa450	Gamma-like	ERV-GE.cPa450.428-CamPar
RETROSEQ_chr22:2661321-2661421	cPa140	SnRV-like	ERV-S.cPa140.1064-CamPar
RETROSEQ_chr22:2668502-2668901	cPa264	SnRV-like	ERV-S.cPa264.128-CamPar
RETROSEQ_chr22:2678961-2679061	cPa140	SnRV-like	ERV-S.cPa140.1065-CamPar
RETROSEQ_chr22:2689771-2689871	cPa248	SnRV-like	ERV-S.cPa248.417-CamPar
RETROSEQ_chr22:2703175-2703275	cPa199	Beta-like2	ERV-AB2.cPa199.542-CamPar
RETROSEQ_chr22:2707115-2707215	cPa140	SnRV-like	ERV-S.cPa140.1066-CamPar
RETROSEQ_chr22:2707664-2707764	cPa248	SnRV-like	ERV-S.cPa248.418-CamPar
RETROSEQ_chr22:2718716-2719102	cPa140	SnRV-like	ERV-S.cPa140.1067-CamPar
RETROSEQ_chr22:2729407-2729608	cPa353	Beta-like2	ERV-AB2.cPa353.88-CamPar
RETROSEQ_chr22:2731839-2731964	cPa140	SnRV-like	ERV-S.cPa140.1068-CamPar
RETROSEQ_chr22:2745389-2745489	cPa199	Beta-like2	ERV-AB2.cPa199.543-CamPar
RETROSEQ_chr22:2745652-2745877	cPa199	Beta-like2	ERV-AB2.cPa199.544-CamPar
RETROSEQ_chr22:2745915-2746015	cPa273	Gamma-like	ERV-GE.cPa273.147-CamPar
RETROSEQ_chr22:2753310-2753412	cPa140	SnRV-like	ERV-S.cPa140.1069-CamPar
RETROSEQ_chr22:2807539-2807639	cPa199	Beta-like2	ERV-AB2.cPa199.545-CamPar
RETROSEQ_chr22:2825035-2825135	SIV_NC001870	Lenti	ERV-SIV.8-CamPar
RETROSEQ_chr22:2831135-2831235	HERV30_repbase_HERV30I_LTR30	Gamma-like	ERV-HERV30.19-CamPar
RETROSEQ_chr22:2831456-2831556	HERV30_repbase_HERV30I_LTR30	Gamma-like	ERV-HERV30.20-CamPar
RETROSEQ_chr22:2838388-2838520	cPa224	Alpha-like	ERV-AB.cPa224.126-CamPar
RETROSEQ_chr22:2850063-2850163	SIV_NC001549	Lenti	ERV-SIV.18-CamPar
RETROSEQ_chr22:2881006-2881157	cPa140	SnRV-like	ERV-S.cPa140.1070-CamPar
RETROSEQ_chr22:2931992-2932092	cPa248	SnRV-like	ERV-S.cPa248.419-CamPar
RETROSEQ_chr22:2934528-2934686	ENTV_NC004994	Beta	ERV-ENTV.9-CamPar
RETROSEQ_chr22:2969714-2969832	cPa140	SnRV-like	ERV-S.cPa140.1071-CamPar
RETROSEQ_chr22:2969843-2969943	cPa140	SnRV-like	ERV-S.cPa140.1072-CamPar
RETROSEQ_chr22:2998601-2998701	cPa308	Beta-like2	ERV-AB2.cPa308.206-CamPar
DELLY_chr22:3001343-3001991	cPa16	Beta-like1	ERV-AB1.cPa16.57-CamPar
RETROSEQ_chr22:3002645-3002745	cPa482	Beta-like1	ERV-AB1.cPa482.107-CamPar
RETROSEQ_chr22:3010693-3010793	cPa194	Beta-like1	ERV-AB1.cPa194.505-CamPar
RETROSEQ_chr22:3010889-3010989	cPa194	Beta-like1	ERV-AB1.cPa194.506-CamPar
RETROSEQ_chr22:3014489-3014589	cPa260	Beta-like2	ERV-AB2.cPa260.565-CamPar
RETROSEQ_chr22:3020324-3020536	cPa542	Beta-like1	ERV-AB1.cPa542.147-CamPar
RETROSEQ_chr22:3037132-3037232	cPa194	Beta-like1	ERV-AB1.cPa194.507-CamPar
RETROSEQ_chr22:3037236-3037396	cPa194	Beta-like1	ERV-AB1.cPa194.508-CamPar
RETROSEQ_chr22:3037734-3037834	cPa194	Beta-like1	ERV-AB1.cPa194.509-CamPar
RETROSEQ_chr22:3058401-3058554	cPa486	Beta-like1	ERV-AB1.cPa486.92-CamPar
RETROSEQ_chr22:3058645-3058780	cPa308	Beta-like2	ERV-AB2.cPa308.207-CamPar
RETROSEQ_chr22:3062353-3062529	cPa194	Beta-like1	ERV-AB1.cPa194.510-CamPar
RETROSEQ_chr22:3062564-3062703	cPa194	Beta-like1	ERV-AB1.cPa194.511-CamPar
RETROSEQ_chr22:3074841-3075002	cPa140	SnRV-like	ERV-S.cPa140.1073-CamPar
RETROSEQ_chr22:3105429-3105529	cPa450	Gamma-like	ERV-GE.cPa450.429-CamPar
RETROSEQ_chr22:3105536-3105636	cPa450	Gamma-like	ERV-GE.cPa450.430-CamPar
RETROSEQ_chr22:3105679-3105779	cPa227	Gamma-like	ERV-GE.cPa227.76-CamPar
RETROSEQ_chr22:3189308-3189699	cPa452	Beta-like1	ERV-AB1.cPa452.895-CamPar
RETROSEQ_chr22:3193255-3193356	cPa194	Beta-like1	ERV-AB1.cPa194.512-CamPar
RETROSEQ_chr22:3193376-3193738	cPa194	Beta-like1	ERV-AB1.cPa194.513-CamPar
RETROSEQ_chr22:3196149-3196249	cPa199	Beta-like2	ERV-AB2.cPa199.546-CamPar
RETROSEQ_chr22:3196454-3196705	cPa199	Beta-like2	ERV-AB2.cPa199.547-CamPar
RETROSEQ_chr22:3264529-3264629	cPa201	Gamma-like	ERV-GE.cPa201.119-CamPar
RETROSEQ_chr22:3308534-3308754	cPa199	Beta-like2	ERV-AB2.cPa199.548-CamPar
RETROSEQ_chr22:3308773-3308945	cPa450	Gamma-like	ERV-GE.cPa450.431-CamPar
RETROSEQ_chr22:3325551-3325651	cPa194	Beta-like1	ERV-AB1.cPa194.514-CamPar
RETROSEQ_chr22:3327987-3328087	cPa194	Beta-like1	ERV-AB1.cPa194.515-CamPar
RETROSEQ_chr22:3328166-3328266	cPa194	Beta-like1	ERV-AB1.cPa194.516-CamPar
RETROSEQ_chr22:3328343-3328443	cPa194	Beta-like1	ERV-AB1.cPa194.517-CamPar
RETROSEQ_chr22:3329410-3329510	cPa381	Beta-like1	ERV-AB1.cPa381.42-CamPar
RETROSEQ_chr22:3333257-3333357	cPa264	SnRV-like	ERV-S.cPa264.129-CamPar
RETROSEQ_chr22:3333375-3333644	cPa140	SnRV-like	ERV-S.cPa140.1074-CamPar
RETROSEQ_chr22:3335669-3335769	cPa248	SnRV-like	ERV-S.cPa248.420-CamPar
RETROSEQ_chr22:3335950-3336240	cPa140	SnRV-like	ERV-S.cPa140.1075-CamPar
RETROSEQ_chr22:3341920-3342078	cPa486	Beta-like1	ERV-AB1.cPa486.93-CamPar
RETROSEQ_chr22:3346110-3346244	cPa194	Beta-like1	ERV-AB1.cPa194.518-CamPar
RETROSEQ_chr22:3346263-3346501	cPa194	Beta-like1	ERV-AB1.cPa194.519-CamPar
RETROSEQ_chr22:3416365-3416733	cPa450	Gamma-like	ERV-GE.cPa450.432-CamPar
RETROSEQ_chr22:3444352-3444605	cPa201	Gamma-like	ERV-GE.cPa201.120-CamPar
RETROSEQ_chr22:3473164-3473549	cPa199	Beta-like2	ERV-AB2.cPa199.549-CamPar
RETROSEQ_chr22:3504249-3504349	cPa426	Beta-like2	ERV-AB2.cPa426.6-CamPar
RETROSEQ_chr22:3504377-3504483	SIV_NC001870	Lenti	ERV-SIV.9-CamPar
RETROSEQ_chr22:3511840-3511940	cPa140	SnRV-like	ERV-S.cPa140.1076-CamPar
RETROSEQ_chr22:3638137-3638237	cPa260	Beta-like2	ERV-AB2.cPa260.566-CamPar
RETROSEQ_chr22:3687141-3687241	cPa224	Alpha-like	ERV-AB.cPa224.127-CamPar
RETROSEQ_chr22:3704256-3704368	cPa358	Gamma-like	ERV-GE.cPa358.18-CamPar
RETROSEQ_chr22:3726858-3726958	cPa194	Beta-like1	ERV-AB1.cPa194.520-CamPar
RETROSEQ_chr22:3727091-3727222	cPa194	Beta-like1	ERV-AB1.cPa194.521-CamPar
RETROSEQ_chr22:3738513-3738613	cPa194	Beta-like1	ERV-AB1.cPa194.522-CamPar
RETROSEQ_chr22:3738762-3738864	cPa194	Beta-like1	ERV-AB1.cPa194.523-CamPar
RETROSEQ_chr22:3738895-3738995	cPa194	Beta-like1	ERV-AB1.cPa194.524-CamPar
RETROSEQ_chr22:3760360-3760536	cPa450	Gamma-like	ERV-GE.cPa450.433-CamPar
RETROSEQ_chr22:3776626-3776726	cPa248	SnRV-like	ERV-S.cPa248.421-CamPar
RETROSEQ_chr22:3777071-3777281	cPa194	Beta-like1	ERV-AB1.cPa194.525-CamPar
RETROSEQ_chr22:3777521-3777621	cPa194	Beta-like1	ERV-AB1.cPa194.526-CamPar
RETROSEQ_chr22:3806361-3806569	cPa140	SnRV-like	ERV-S.cPa140.1077-CamPar
RETROSEQ_chr22:3806636-3806967	cPa140	SnRV-like	ERV-S.cPa140.1078-CamPar
RETROSEQ_chr22:3829715-3829815	cPa199	Beta-like2	ERV-AB2.cPa199.550-CamPar
RETROSEQ_chr22:3829844-3829944	cPa450	Gamma-like	ERV-GE.cPa450.434-CamPar
RETROSEQ_chr22:3871629-3871729	cPa486	Beta-like1	ERV-AB1.cPa486.94-CamPar
RETROSEQ_chr22:3902779-3902960	cPa71	Beta-like1	ERV-AB1.cPa71.42-CamPar
RETROSEQ_chr22:3903050-3903285	cPa526	Beta-like1	ERV-AB1.cPa526.34-CamPar
RETROSEQ_chr22:3909605-3909844	cPa71	Beta-like1	ERV-AB1.cPa71.43-CamPar
RETROSEQ_chr22:3931319-3931419	cPa199	Beta-like2	ERV-AB2.cPa199.551-CamPar
RETROSEQ_chr22:3950157-3950272	cPa248	SnRV-like	ERV-S.cPa248.422-CamPar
RETROSEQ_chr22:3977719-3977819	cPa201	Gamma-like	ERV-GE.cPa201.121-CamPar
RETROSEQ_chr22:4019006-4019360	cPa201	Gamma-like	ERV-GE.cPa201.122-CamPar
RETROSEQ_chr22:4021832-4022108	cPa264	SnRV-like	ERV-S.cPa264.130-CamPar
RETROSEQ_chr22:4024770-4024870	cPa542	Beta-like1	ERV-AB1.cPa542.148-CamPar
RETROSEQ_chr22:4029688-4029878	cPa140	SnRV-like	ERV-S.cPa140.1079-CamPar
RETROSEQ_chr22:4029929-4030029	cPa248	SnRV-like	ERV-S.cPa248.423-CamPar
RETROSEQ_chr22:4030304-4030404	cPa443	SnRV-like	ERV-S.cPa443.192-CamPar
RETROSEQ_chr22:4031473-4031573	cPa260	Beta-like2	ERV-AB2.cPa260.567-CamPar
RETROSEQ_chr22:4045666-4045830	cPa142	Beta-like1	ERV-AB1.cPa142.114-CamPar
RETROSEQ_chr22:4049479-4049617	cPa140	SnRV-like	ERV-S.cPa140.1080-CamPar
RETROSEQ_chr22:4050514-4050614	cPa248	SnRV-like	ERV-S.cPa248.424-CamPar
RETROSEQ_chr22:4061891-4062064	PERV_AJ293656	Gamma	ERV-PERV.142-CamPar
RETROSEQ_chr22:4070686-4070800	cPa194	Beta-like1	ERV-AB1.cPa194.527-CamPar
RETROSEQ_chr22:4070814-4070914	cPa194	Beta-like1	ERV-AB1.cPa194.528-CamPar
RETROSEQ_chr22:4081659-4081799	cPa140	SnRV-like	ERV-S.cPa140.1081-CamPar
RETROSEQ_chr22:4129910-4130016	cPa486	Beta-like1	ERV-AB1.cPa486.95-CamPar
RETROSEQ_chr22:4138200-4138349	cPa542	Beta-like1	ERV-AB1.cPa542.149-CamPar
CNV_chr22:4158001-4173600	cPa190	Beta-like1	ERV-AB1.cPa190.42-CamPar
RETROSEQ_chr22:4163271-4163405	cPa248	SnRV-like	ERV-S.cPa248.425-CamPar
DELLY_chr22:4163319-4173205	cPa190	Beta-like1	ERV-AB1.cPa190.43-CamPar
RETROSEQ_chr22:4164087-4164230	cPa219		NA.13-NA
RETROSEQ_chr22:4164249-4164465	cPa104	Beta-like1	ERV-AB1.cPa104.87-CamPar
RETROSEQ_chr22:4165499-4165871	cPa219		NA.14-NA
RETROSEQ_chr22:4168972-4169072	cPa190	Beta-like1	ERV-AB1.cPa190.44-CamPar
RETROSEQ_chr22:4169687-4169864	cPa104	Beta-like1	ERV-AB1.cPa104.88-CamPar
